J.D.-2400000,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_C7,rel_flux_C8,rel_flux_C9,rel_flux_C10,rel_flux_C11,rel_flux_C12,rel_flux_C13,rel_flux_C14,rel_flux_C15,rel_flux_C16,rel_flux_C17,rel_flux_C18,rel_flux_C19,rel_flux_C20,rel_flux_C21,rel_flux_C22,rel_flux_C23,rel_flux_C24,rel_flux_C25
60016.62865,0.026517449,0.033706392,0.000226552,-0.00018648,-0.000538788,0.000247403,0.000241064,0.025096576,0.034395199,0.022309514,0.022615848,0.000274999,0.065820932,0.012362483,0.100437754,0.084156642,0.080448185,0.013439677,0.125463137,0.004939625,0.021199685,0.013648814,0.032921003,0.018939754
60016.6294,0.02749535,0.000127731,8.90745E-05,-2.41816E-05,-0.000402792,-9.43361E-05,0.000192131,0.026115128,0.035537213,0.022988218,0.022954781,-0.000454072,0.069077858,0.013136954,0.10453431,0.087715528,0.083183177,0.013904896,0.129845919,0.004778011,0.021747916,0.013943663,0.032926868,0.018828945
60016.63014,0.033997646,0.042396253,-0.000293032,0.031451768,-0.000411554,-9.43335E-05,0.000463547,0.032340891,0.000760883,0.028437825,0.028159594,0.000140179,0.085014907,0.015843031,0.131309861,0.109978539,0.105309013,0.017481369,1.75985E-05,-0.000411047,0.02676398,0.013875849,0.032679486,0.019095283
60016.63089,0.038469971,0.049370216,0.000212553,-0.000189544,-0.000321642,0.000425381,-0.000499689,0.036975719,0.049474382,0.032241866,0.032275356,0.000219176,0.097550354,0.017984635,0.151857666,0.126062756,0.120952165,0.019693395,0.191182289,0.006172431,0.029858308,0.014146076,0.033121338,0.019742179
60016.63164,-0.00010007,5.8451E-05,0.00035605,0.000381642,-0.000117887,0.050525261,0.047739912,0.041874118,0.05821565,0.037428811,0.003975864,0.000792137,0.002142339,0.000466875,0.17683004,0.145976546,-0.000817233,0.000357502,0.223199448,0.00746386,0.034896879,0.013818301,0.032449489,0.018712615
60016.6324,-0.000445868,0.000541489,0.000361083,0.000244257,-0.000495169,0.000103346,0.000872679,0.052713559,0.070620882,0.046170828,0.044728967,6.74215E-06,-4.14152E-05,0.025388719,0.224497193,0.183432672,0.175159254,0.027152142,9.96929E-05,0.000188523,-0.000791337,0.013899597,0.032414338,0.01903358
60016.63315,0.000375442,-0.000270645,0.000571246,0.000128658,-0.000613163,0.000500125,0.000623438,0.046549133,0.064850527,0.041557875,0.007126334,0.000274212,-0.000731556,0.023149213,0.200659587,0.164574026,0.156508115,0.024739204,0.254242866,0.008046748,-0.000910121,0.013797404,0.032691199,0.018860037
60016.6339,0.000450196,0.000785793,-9.95014E-05,-0.00011764,-0.000311681,9.23309E-05,0.000161196,0.047250614,0.063471572,0.041189802,0.003672262,0.000922846,-0.000261907,0.023034199,0.197457021,0.163244267,0.154694491,0.024123446,0.251002646,0.008496997,0.03842108,0.01380005,0.032481129,0.019265265
60016.63464,0.000233648,0.000514738,0.000110903,-0.000228772,-0.000426538,-0.000375084,-0.000418126,0.036593215,-0.000218292,0.032167792,0.031095837,0.000624585,0.097607818,0.017397897,0.150400243,0.124872468,0.119199887,0.019190377,0.188608868,0.006349256,0.029776661,0.013857504,0.032489209,0.018678928
60016.63539,0.034090691,0.000710727,-2.38535E-05,0.000339915,-0.000115166,0.000278844,-0.000319372,0.031902147,-0.000450086,0.027803138,0.027313716,1.54918E-05,0.084527413,0.015566443,0.129803751,0.107907201,0.103443905,0.016827679,8.73556E-05,0.000228462,0.00062565,0.013770359,0.033030748,0.018843259
60016.63615,-3.65872E-05,0.000257539,0.000556702,0.000340444,-0.001006103,0.047133756,0.04528515,0.04022862,0.054687153,0.03540709,0.004777915,0.000479039,0.000183498,0.019643217,0.165813121,0.137287398,0.130139337,0.021010602,0.208924864,0.00719548,0.032704474,0.014542119,0.033538886,0.000675588
60016.6369,0.000241247,-3.24631E-05,0.000221554,3.04886E-05,0.000420984,7.70545E-05,4.87645E-05,0.04018045,-0.000163555,0.036272714,0.035600135,0.000403037,0.108351132,0.019802596,0.168505492,0.138655123,0.133345863,0.021449723,0.213480891,0.007029881,0.000212325,0.014753069,0.033205668,0.019247091
60016.63765,0.001253903,0.001035651,0.000752526,-0.000719644,0.001539777,-0.000387584,-2.59336E-05,0.08347687,0.113488456,0.072133583,0.070777667,0.000967088,-0.00095155,0.039348794,-0.001045674,0.001103432,0.296271304,0.043197823,-0.000148825,0.000317495,0.001209277,0.013955207,0.033492396,9.43093E-06
60016.6384,8.40136E-05,0.000303117,0.000331928,-6.58251E-05,0.000281877,-0.001250974,0.00024248,0.059159602,0.080818926,0.052689485,0.051109651,0.000520387,0.000275175,0.028518294,0.260587123,0.213980038,0.202120801,0.030818628,0.000316217,-0.000933303,0.000115718,0.014069019,0.032963345,0.001339358
60016.63914,0.000807529,0.000167159,0.000866205,-0.000147598,0.000500668,0.056136096,0.00052704,0.048347576,0.065482753,0.042293078,0.003279325,7.11168E-05,0.000374915,0.022904561,0.202533993,0.167229794,0.158660186,0.025047922,0.256655723,0.007732674,0.039330205,0.013915003,0.033176748,-0.000253907
60016.6399,0.000234823,0.000821234,-0.000124187,-0.000765284,-3.58777E-05,-0.000247213,0.000434868,0.046465905,-0.000364565,0.040753827,0.040568025,0.000749494,0.124805065,0.022479872,0.193855645,0.160691781,0.153767641,0.024363812,0.246534443,0.008427932,0.037317045,0.013925331,0.033227748,-0.000142445
60016.64065,0.000266339,-0.000297731,9.47775E-05,-7.50034E-05,0.000249499,0.054197276,0.052062567,0.045331179,0.000250273,0.000405211,0.004625396,0.000584015,-0.000454747,-0.000118591,0.192178279,0.158117259,0.000103851,0.024082649,0.243571083,0.00871416,0.037091528,0.015004206,-0.000200716,0.000468198
60016.6414,0.00062901,0.000481106,-2.92519E-05,0.000725877,0.001022012,0.056628608,0.055656304,0.048161664,0.000310872,0.041966146,0.004114187,-0.000163563,0.001163507,0.023658321,0.203680763,0.168533227,0.000297064,-1.2576E-05,0.260275249,0.008318453,0.039038698,0.014167315,0.033719691,0.000761552
60016.64215,-0.000490903,0.000120325,0.000589142,0.000238724,0.000313785,0.000178695,-0.000318039,0.050932909,0.06836147,0.044557096,0.008650611,-2.37019E-05,0.000336581,0.024533126,0.217233026,0.177161022,0.170128246,0.026200386,0.274190668,0.009288341,0.040732213,0.014231989,0.033906687,0.000309629
60016.64289,0.00016562,0.00021452,0.000250451,0.000236185,-5.4164E-05,0.000279122,-0.000190599,0.042366944,0.000100058,0.036369548,0.009486671,0.000487915,0.111778688,0.020126566,0.173026063,0.143555748,0.137056046,0.02239182,0.218598098,0.007385048,0.034145999,0.001370193,0.034319278,0.000264722
60016.64365,0.000222854,0.000534131,0.000127875,4.9872E-05,0.000103375,0.051409761,0.000287113,0.044049068,-0.00024234,0.038644614,0.00196374,2.88863E-05,-0.00052703,0.021471187,0.181760723,0.14980667,0.142737678,0.023104862,0.229514921,0.007725663,0.035511364,0.000257304,0.034279775,0.001382698
60016.6444,0.040859976,-1.5291E-05,0.000485656,-0.000639398,0.000443213,0.000489798,-7.73913E-05,0.03956378,-0.000627802,0.033698788,0.034502731,0.000167078,0.105178842,0.019627906,0.162680019,0.134651319,0.128205295,0.021210232,-0.000405649,0.000399765,1.95186E-06,0.000764283,-8.35984E-05,0.000187089
60016.64515,0.041793849,6.61707E-05,0.000552136,-0.000160434,0.000256044,-6.72596E-05,4.48727E-05,0.040177447,0.000316935,0.034804813,0.034067501,0.000675507,0.105608744,0.019260968,0.164142539,0.13604614,0.130095679,0.021206832,0.000314128,0.000352332,0.000565702,0.000635864,0.000203045,0.000880946
60016.6459,0.000294525,-9.65828E-05,0.0004263,0.000565973,9.79244E-05,0.000168849,9.66796E-05,0.04789696,0.000269757,0.041894645,0.00678063,0.000482392,0.12844504,0.023682925,0.200427966,0.165227161,0.157394243,0.024737886,0.255306984,0.008270136,0.038933564,0.000582354,-8.43101E-05,0.000270476
60016.64664,-6.66577E-05,-0.000255861,0.00041357,0.000233471,0.000536675,0.000349177,0.000182425,0.050321628,-0.001270237,0.043952152,0.011071213,0.000499563,0.137389028,0.024860945,0.216007605,0.176062768,0.167189294,0.026442009,0.27450397,0.008676747,0.000633255,0.001363429,-8.2171E-05,0.000183985
60016.6474,0.00079288,4.78886E-05,0.000699718,-0.000240392,0.000377739,-0.000316882,-0.000135698,0.0547179,0.000552306,0.047729793,0.006059685,0.000980916,0.000206459,0.026964446,0.233230966,0.193802613,0.183149543,0.028401163,0.2996912,0.009621532,0.044297321,-0.000420707,-0.000586335,0.001218148
